"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Eef1d",0,-0.958068670670287,0.076,0.609,0,"Neutrophils","Eef1d"
"Atp5o.1",0,-0.958636873262758,0.046,0.599,0,"Neutrophils","Atp5o.1"
"Eif3c",0,-0.9604099797586,0.063,0.621,0,"Neutrophils","Eif3c"
"Psmb3",0,-0.961975116748093,0.141,0.743,0,"Neutrophils","Psmb3"
"Ndufc1",0,-0.962490424471291,0.043,0.591,0,"Neutrophils","Ndufc1"
"Aes",0,-0.963161051797615,0.09,0.637,0,"Neutrophils","Aes"
"Tmem160",0,-0.96355259484918,0.014,0.542,0,"Neutrophils","Tmem160"
"Ppp1r14b",0,-0.969303355253734,0.019,0.499,0,"Neutrophils","Ppp1r14b"
"Ndufb5",0,-0.977617345691628,0.03,0.565,0,"Neutrophils","Ndufb5"
"Eif3i",0,-0.98096517654791,0.024,0.553,0,"Neutrophils","Eif3i"
"Smdt1",0,-0.99068896234255,0.12,0.703,0,"Neutrophils","Smdt1"
"Eef2",0,-0.992452210141324,0.167,0.745,0,"Neutrophils","Eef2"
"Ndufa11",0,-0.992814686691303,0.017,0.563,0,"Neutrophils","Ndufa11"
"Cd48",0,-1.00314080760898,0.008,0.486,0,"Neutrophils","Cd48"
"Tma7",0,-1.00494844470861,0.111,0.716,0,"Neutrophils","Tma7"
"S100a13",0,-1.00756556987505,0.064,0.653,0,"Neutrophils","S100a13"
"Jpt1",0,-1.01282319163837,0.093,0.681,0,"Neutrophils","Jpt1"
"Snrpf",0,-1.01883166943889,0.028,0.586,0,"Neutrophils","Snrpf"
"Ndufc2",0,-1.02391457087168,0.018,0.566,0,"Neutrophils","Ndufc2"
"Psmb1",0,-1.02553740926325,0.089,0.705,0,"Neutrophils","Psmb1"
"Ran",0,-1.02583128797536,0.112,0.697,0,"Neutrophils","Ran"
"Ndufb11",0,-1.02596316080446,0.055,0.638,0,"Neutrophils","Ndufb11"
"Rtraf",0,-1.02680592485407,0.042,0.631,0,"Neutrophils","Rtraf"
"Cbx3",0,-1.03042593979413,0.054,0.581,0,"Neutrophils","Cbx3"
"Ndufa1",0,-1.03046793007144,0.109,0.698,0,"Neutrophils","Ndufa1"
"H2-DMa",0,-1.03267350523388,0.005,0.36,0,"Neutrophils","H2-DMa"
"Reep5",0,-1.03589019475525,0.177,0.79,0,"Neutrophils","Reep5"
"Abracl",0,-1.04815955754519,0.094,0.693,0,"Neutrophils","Abracl"
"Cyb5a",0,-1.05147315925769,0.025,0.484,0,"Neutrophils","Cyb5a"
"Rps27l",0,-1.05541804071039,0.076,0.632,0,"Neutrophils","Rps27l"
"Atp5k",0,-1.06501035306362,0.083,0.699,0,"Neutrophils","Atp5k"
"Rbx1",0,-1.07388845197626,0.142,0.787,0,"Neutrophils","Rbx1"
"Set",0,-1.07443277122609,0.106,0.711,0,"Neutrophils","Set"
"Rbm3",0,-1.07496597015681,0.256,0.845,0,"Neutrophils","Rbm3"
"Cox4i1",0,-1.0762494621957,0.342,0.911,0,"Neutrophils","Cox4i1"
"Tuba1b",0,-1.08346514464958,0.052,0.565,0,"Neutrophils","Tuba1b"
"Gimap1",0,-1.08821174723315,0.002,0.301,0,"Neutrophils","Gimap1"
"Park7",0,-1.08920668150219,0.059,0.664,0,"Neutrophils","Park7"
"Irf8",0,-1.09084431132499,0.008,0.388,0,"Neutrophils","Irf8"
"Maf",0,-1.09324549358555,0.009,0.345,0,"Neutrophils","Maf"
"Calm1",0,-1.10023119498812,0.609,0.952,0,"Neutrophils","Calm1"
"Ssr4",0,-1.10723871128927,0.116,0.725,0,"Neutrophils","Ssr4"
"H2afy",0,-1.107587656524,0.037,0.582,0,"Neutrophils","H2afy"
"Atp5e",0,-1.10904701389537,0.439,0.93,0,"Neutrophils","Atp5e"
"Hsp90b1",0,-1.11072481336647,0.13,0.713,0,"Neutrophils","Hsp90b1"
"Tspo",0,-1.11146081695046,0.416,0.886,0,"Neutrophils","Tspo"
"Dad1",0,-1.11235516341627,0.083,0.717,0,"Neutrophils","Dad1"
"mt-Nd5",0,-1.11309866705907,0.094,0.714,0,"Neutrophils","mt-Nd5"
"Pdia3",0,-1.11666030487161,0.067,0.649,0,"Neutrophils","Pdia3"
"Ppp1ca",0,-1.1244229914224,0.133,0.784,0,"Neutrophils","Ppp1ca"
"Snrpe",0,-1.12847304387985,0.063,0.698,0,"Neutrophils","Snrpe"
"Rpl22l1",0,-1.13376837440604,0.095,0.654,0,"Neutrophils","Rpl22l1"
"Ndufb8",0,-1.1366972528611,0.062,0.669,0,"Neutrophils","Ndufb8"
"Ndufa13",0,-1.13684234017323,0.148,0.81,0,"Neutrophils","Ndufa13"
"Tbca",0,-1.13803859141796,0.048,0.673,0,"Neutrophils","Tbca"
"Fkbp1a",0,-1.14102502335301,0.031,0.616,0,"Neutrophils","Fkbp1a"
"Ptprcap",0,-1.14573764091248,0.003,0.323,0,"Neutrophils","Ptprcap"
"Prdx2",0,-1.15506119472595,0.021,0.609,0,"Neutrophils","Prdx2"
"Atp5g3",0,-1.16483574700018,0.034,0.654,0,"Neutrophils","Atp5g3"
"Sec61b",0,-1.17488715408396,0.202,0.836,0,"Neutrophils","Sec61b"
"Mbnl1",0,-1.18083304342937,0.034,0.573,0,"Neutrophils","Mbnl1"
"Nsa2",0,-1.18209983104573,0.042,0.663,0,"Neutrophils","Nsa2"
"Atp5d",0,-1.18325304432853,0.125,0.789,0,"Neutrophils","Atp5d"
"Tmem256",0,-1.19449555380084,0.015,0.623,0,"Neutrophils","Tmem256"
"Rps15",0,-1.19723295041718,0.092,0.724,0,"Neutrophils","Rps15"
"Sumo2",0,-1.19944926191034,0.173,0.84,0,"Neutrophils","Sumo2"
"Cox5a",0,-1.20297831757907,0.158,0.825,0,"Neutrophils","Cox5a"
"Rps25",0,-1.20344585724075,0.224,0.834,0,"Neutrophils","Rps25"
"Snrpg",0,-1.21361595039643,0.065,0.736,0,"Neutrophils","Snrpg"
"Il7r",0,-1.21682161831003,0.008,0.367,0,"Neutrophils","Il7r"
"Ms4a6d",0,-1.21716915556005,0.016,0.397,0,"Neutrophils","Ms4a6d"
"Uqcrh",0,-1.2201178224392,0.247,0.877,0,"Neutrophils","Uqcrh"
"Uba52",0,-1.22583548841425,0.145,0.798,0,"Neutrophils","Uba52"
"Atp5j2",0,-1.22990170799607,0.123,0.797,0,"Neutrophils","Atp5j2"
"Btf3",0,-1.23166127270756,0.26,0.886,0,"Neutrophils","Btf3"
"Rpl10",0,-1.23215251500766,0.347,0.901,0,"Neutrophils","Rpl10"
"mt-Nd2",0,-1.23497787977634,0.125,0.78,0,"Neutrophils","mt-Nd2"
"Rpl23a",0,-1.23594835382135,0.106,0.765,0,"Neutrophils","Rpl23a"
"Dbi",0,-1.23807095225107,0.028,0.603,0,"Neutrophils","Dbi"
"Rpl17",0,-1.26566887409607,0.297,0.905,0,"Neutrophils","Rpl17"
"Rps6",0,-1.27544498213773,0.119,0.786,0,"Neutrophils","Rps6"
"mt-Nd4",0,-1.28183202367062,0.278,0.869,0,"Neutrophils","mt-Nd4"
"Serbp1",0,-1.28456648404434,0.079,0.749,0,"Neutrophils","Serbp1"
"Hint1",0,-1.28598889326779,0.084,0.783,0,"Neutrophils","Hint1"
"Rpl5",0,-1.28759067263801,0.056,0.71,0,"Neutrophils","Rpl5"
"Atp5g1",0,-1.2890604529977,0.046,0.69,0,"Neutrophils","Atp5g1"
"Atp5c1",0,-1.29468025046928,0.067,0.758,0,"Neutrophils","Atp5c1"
"Cox7c",0,-1.30908634909281,0.252,0.909,0,"Neutrophils","Cox7c"
"Ms4a4b",0,-1.31126723976863,0.002,0.306,0,"Neutrophils","Ms4a4b"
"Rplp2",0,-1.32072173068763,0.444,0.959,0,"Neutrophils","Rplp2"
"Rpl37",0,-1.32768115323796,0.723,0.978,0,"Neutrophils","Rpl37"
"Eif3h",0,-1.33409424316524,0.068,0.743,0,"Neutrophils","Eif3h"
"Ybx1",0,-1.33861376992376,0.209,0.871,0,"Neutrophils","Ybx1"
"Eef1b2",0,-1.3423535203527,0.18,0.829,0,"Neutrophils","Eef1b2"
"Rpl31",0,-1.34622251711891,0.095,0.792,0,"Neutrophils","Rpl31"
"Rps17",0,-1.3566505505653,0.107,0.793,0,"Neutrophils","Rps17"
"Rpl23",0,-1.37531212106988,0.631,0.976,0,"Neutrophils","Rpl23"
"Ms4a6b",0,-1.37675209394461,0.005,0.487,0,"Neutrophils","Ms4a6b"
"mt-Nd1",0,-1.37843651607238,0.134,0.798,0,"Neutrophils","mt-Nd1"
"Ptpn18",0,-1.3907270927861,0.072,0.691,0,"Neutrophils","Ptpn18"
"Krtcap2",0,-1.39389283524317,0.027,0.689,0,"Neutrophils","Krtcap2"
"Ucp2",0,-1.39683064922511,0.183,0.782,0,"Neutrophils","Ucp2"
"Rpl4",0,-1.40285757068773,0.06,0.742,0,"Neutrophils","Rpl4"
"Npm1",0,-1.42372677214021,0.024,0.693,0,"Neutrophils","Npm1"
"Rack1",0,-1.42488368458484,0.061,0.758,0,"Neutrophils","Rack1"
"Uqcrb",0,-1.42634588131971,0.071,0.788,0,"Neutrophils","Uqcrb"
"Tubb5",0,-1.43386302752388,0.08,0.708,0,"Neutrophils","Tubb5"
"Atp5h",0,-1.4343720999226,0.145,0.87,0,"Neutrophils","Atp5h"
"Ndufa4",0,-1.44201024748886,0.07,0.728,0,"Neutrophils","Ndufa4"
"Rpl41",0,-1.45266722029072,0.795,0.983,0,"Neutrophils","Rpl41"
"Rpl35a",0,-1.45417846769714,0.576,0.974,0,"Neutrophils","Rpl35a"
"Ccr2",0,-1.45541171991245,0.006,0.498,0,"Neutrophils","Ccr2"
"Anxa5",0,-1.45940062669417,0.051,0.647,0,"Neutrophils","Anxa5"
