"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Irf1.1",2.45467186150424e-206,1.02104961435732,0.535,0.517,4.35507881668082e-202,"4","Irf1"
"H2-Q10",2.47820454557382e-206,1.30603920258749,0.471,0.122,4.39683050475707e-202,"4","H2-Q10"
"Mmp9",8.95497633813546e-206,1.38442773346475,0.645,0.103,1.58879190191199e-201,"4","Mmp9"
"mt-Nd4.1",1.01180045620978e-205,-1.00919634205691,0.594,0.945,1.7951363694074e-201,"4","mt-Nd4"
"Atp6v1e1.1",3.26549303411864e-205,0.761307489829513,0.54,0.563,5.79363774113329e-201,"4","Atp6v1e1"
"Sdcbp.2",7.92150988337253e-205,0.885171837115452,0.836,0.744,1.40543428350795e-200,"4","Sdcbp"
"Samsn1.3",1.44664180169222e-204,0.992910067268669,0.663,0.517,2.56663188456233e-200,"4","Samsn1"
"Ppib.1",1.73860977874388e-204,-0.893910015873309,0.273,0.85,3.0846414694474e-200,"4","Ppib"
"Hspa8.1",3.49714262054752e-204,-0.87950361863769,0.625,0.961,6.20463043737541e-200,"4","Hspa8"
"Txn1.4",2.26024572267542e-203,1.1511199438986,0.846,0.716,4.01012796117073e-199,"4","Txn1"
"Plk3.1",6.65677977510891e-203,1.05117974823252,0.463,0.241,1.18104586769982e-198,"4","Plk3"
"Tgoln1",7.95249368539223e-203,0.712011787840742,0.48,0.519,1.41093142966229e-198,"4","Tgoln1"
"Neurl3.2",1.56810049028083e-202,0.960858243401379,0.592,0.464,2.78212388985626e-198,"4","Neurl3"
"Rps15.2",2.07563805126421e-202,-1.02419096380439,0.624,0.945,3.68259703055297e-198,"4","Rps15"
"Isg15.3",3.22212933772751e-201,1.68771950026084,0.62,0.362,5.71670187099615e-197,"4","Isg15"
"Lmnb1.3",7.33442553447699e-200,1.13193654864245,0.609,0.344,1.30127377832691e-195,"4","Lmnb1"
"Zfp36.2",7.49366703493825e-200,1.198626563037,0.864,0.74,1.32952640533874e-195,"4","Zfp36"
"Rpl13a.3",6.59913332572471e-199,-0.953312153335827,0.185,0.783,1.17081823465008e-194,"4","Rpl13a"
"Rps28.2",1.13795631670901e-198,-1.05355690471477,0.656,0.939,2.01896209710513e-194,"4","Rps28"
"Nsa2.2",4.16977371059081e-198,-0.899735530060611,0.164,0.765,7.39801251733022e-194,"4","Nsa2"
