"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ncoa2",5.96847620426526e-05,-0.496568975857951,0.128,0.315,0.980799694646911,"Macrophages","Ncoa2"
"Pomp.4",5.96983161914542e-05,0.663702413057032,0.487,0.51,0.981022429974166,"Macrophages","Pomp"
"Dgka.5",5.98995862753703e-05,-0.619667926857795,0.103,0.355,0.98432990126316,"Macrophages","Dgka"
"Baz2a",6.02974976148168e-05,-0.51115235515924,0.231,0.396,0.990868778304284,"Macrophages","Baz2a"
"Pde3b.4",6.03682120929786e-05,-0.372489154167357,0.179,0.261,0.992030829323918,"Macrophages","Pde3b"
"Dyrk1a",6.0533304624467e-05,-0.417694646821366,0.154,0.307,0.994743794893867,"Macrophages","Dyrk1a"
"Synj1.5",6.06378337298395e-05,-0.426873788914697,0.205,0.284,0.996461521682453,"Macrophages","Synj1"
"Slfn8.1",6.08309538716481e-05,-0.601625598211134,0.103,0.351,0.999635064972794,"Macrophages","Slfn8"
"Cox5a.5",6.14728367797995e-05,0.552748024488678,0.538,0.571,1,"Macrophages","Cox5a"
"Def6.1",6.15338375080629e-05,-0.464372610457549,0.128,0.306,1,"Macrophages","Def6"
"Smc4.5",6.21219806563984e-05,-0.748531820477466,0.256,0.474,1,"Macrophages","Smc4"
"Mllt6.4",6.31095135115484e-05,-0.542224770543815,0.128,0.351,1,"Macrophages","Mllt6"
"Ubtd1",6.32645418788174e-05,0.676275915034049,0.282,0.058,1,"Macrophages","Ubtd1"
"Dnaja1.2",6.40689357109488e-05,-0.302998896145839,0.462,0.783,1,"Macrophages","Dnaja1"
"Pik3ip1.4",6.41217687342904e-05,-0.489662025271541,0.026,0.257,1,"Macrophages","Pik3ip1"
"Rnf144a.5",6.4374571326582e-05,-0.673535584380346,0.026,0.262,1,"Macrophages","Rnf144a"
"Ppp6r3",6.44172310054385e-05,-0.443370031747892,0.231,0.37,1,"Macrophages","Ppp6r3"
"Hmgn2.6",6.46073568070818e-05,-0.489279702941335,0.179,0.259,1,"Macrophages","Hmgn2"
"Herc1.1",6.5128432904275e-05,-0.542951051393695,0.256,0.464,1,"Macrophages","Herc1"
"Puf60",6.68097961329134e-05,-0.43194322750561,0.282,0.391,1,"Macrophages","Puf60"
"Pum1.2",6.72431012748229e-05,-0.476503974482421,0.256,0.4,1,"Macrophages","Pum1"
"Psma1.1",6.74879479052435e-05,-0.451600041507105,0.308,0.417,1,"Macrophages","Psma1"
"Slc12a6.4",6.77506181488496e-05,-0.557494608085544,0.282,0.394,1,"Macrophages","Slc12a6"
"Rchy1.2",6.79569629194688e-05,-0.470123381640766,0.282,0.38,1,"Macrophages","Rchy1"
"Abhd12.1",6.83393564303707e-05,0.568413847463483,0.385,0.112,1,"Macrophages","Abhd12"
"Coa4",6.84032770323373e-05,0.346761826569182,0.256,0.057,1,"Macrophages","Coa4"
"Rpn2.4",6.8803868365505e-05,0.524783663070358,0.41,0.32,1,"Macrophages","Rpn2"
"Pura.3",6.90149925619541e-05,-0.490074211322776,0.231,0.393,1,"Macrophages","Pura"
"Zfp318.5",7.08781052368689e-05,-0.564283962412277,0.103,0.262,1,"Macrophages","Zfp318"
"Dtx3l",7.14954992620682e-05,-0.454668546307022,0.205,0.322,1,"Macrophages","Dtx3l"
"Cd19.7",7.27415898473967e-05,-0.988155880356483,0.103,0.324,1,"Macrophages","Cd19"
"Adam9",7.29226850456834e-05,0.674313425578374,0.256,0.051,1,"Macrophages","Adam9"
"Arl4c.7",7.32337439062496e-05,-0.537006171797567,0.128,0.42,1,"Macrophages","Arl4c"
"Irf3",7.33767322067463e-05,-0.367312667384437,0.205,0.278,1,"Macrophages","Irf3"
