"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Btla",9.43883703434207e-60,-0.559567254437047,0.077,0.301,1.55108408985343e-55,"0","Btla"
"Nfic",9.63102422853537e-60,0.25436954040406,0.257,0.262,1.58266621147522e-55,"0","Nfic"
"Klhl24",1.20617667144657e-59,0.322092641560093,0.482,0.46,1.98211012418816e-55,"0","Klhl24"
"Rnf19b",1.28178953651349e-59,0.376443704825054,0.313,0.211,2.10636474535262e-55,"0","Rnf19b"
"Lpin2",1.56611008718096e-59,0.316155364093446,0.256,0.21,2.57358870626447e-55,"0","Lpin2"
"Nsmce1",2.62755443073728e-59,-0.26806559212587,0.056,0.252,4.31786019603057e-55,"0","Nsmce1"
"Ccdc82",1.04811940348522e-58,-0.269392163083575,0.09,0.297,1.72237461574727e-54,"0","Ccdc82"
"Birc3",1.64680276943749e-58,0.271085890188838,0.376,0.379,2.70619099101663e-54,"0","Birc3"
"Strbp",4.97997513908587e-58,-0.292319075365476,0.084,0.291,8.18359314605981e-54,"0","Strbp"
"Anxa5",6.13915779315548e-58,-0.401721057973274,0.052,0.252,1.00884780014924e-53,"0","Anxa5"
"Ctsa",7.95021486373412e-58,0.28224174145619,0.386,0.37,1.30645880855743e-53,"0","Ctsa"
"Abca7",9.87114480622672e-58,0.276515700323949,0.296,0.262,1.62212522600724e-53,"0","Abca7"
"Ivns1abp",1.70061083356507e-57,-0.286167661792544,0.111,0.321,2.79461378279747e-53,"0","Ivns1abp"
"Atad2",4.68776360397492e-57,-0.284057312151933,0.063,0.258,7.70340193041199e-53,"0","Atad2"
"Zfp950",9.58312534849563e-57,-0.261207563890819,0.066,0.259,1.57479498851829e-52,"0","Zfp950"
"Rapgef6",1.54097608914564e-54,-0.275931873969229,0.368,0.618,2.53228600729303e-50,"0","Rapgef6"
"Cbx7",2.35150073315155e-54,-0.312362609788744,0.084,0.286,3.86422115478794e-50,"0","Cbx7"
"Znrf1",7.02931454787566e-54,0.32745183703043,0.317,0.252,1.15512725965241e-49,"0","Znrf1"
"Tspo",2.78895725781022e-53,0.272872004020651,0.707,0.727,4.58309346175953e-49,"0","Tspo"
"Cd244",2.09271873543608e-52,0.351400162769498,0.315,0.287,3.43896469794211e-48,"0","Cd244"
"Nuak2",2.8373771906133e-52,0.347112166763774,0.252,0.155,4.66266193733484e-48,"0","Nuak2"
"Abhd17b",1.32606058353079e-49,-0.294173403340974,0.097,0.293,2.17911535691615e-45,"0","Abhd17b"
"Cd19",1.90251025599488e-49,-0.739957147963582,0.146,0.373,3.12639510367638e-45,"0","Cd19"
"Aldh2",3.71955885528582e-49,0.391599696554114,0.431,0.293,6.11235106689118e-45,"0","Aldh2"
"Hip1",3.77754986825952e-49,0.321193587536899,0.27,0.198,6.20764769851088e-45,"0","Hip1"
"Bcl11a",8.75088941511885e-48,-0.559121800301632,0.066,0.253,1.43803365758648e-43,"0","Bcl11a"
"Cdc42",3.26911181482357e-47,0.289852363703877,0.916,0.883,5.37213144529957e-43,"0","Cdc42"
"Dock2",3.77629605090804e-47,-0.254802276404448,0.576,0.798,6.20558730045718e-43,"0","Dock2"
"Reep5",1.69752959272068e-46,-0.276142903091758,0.383,0.619,2.7895503797179e-42,"0","Reep5"
"Hexa",2.44511251361739e-46,0.262098665573077,0.278,0.233,4.01805339362745e-42,"0","Hexa"
"Atp2b1",1.08655984498035e-45,0.267333071602327,0.633,0.668,1.78554379325621e-41,"0","Atp2b1"
"Son",1.72850245558607e-45,0.262121970551584,0.894,0.894,2.84044808526459e-41,"0","Son"
"Calm2",4.75170329700944e-44,0.252870651515327,0.773,0.774,7.80847402797561e-40,"0","Calm2"
"Jun",1.17707181080462e-43,0.478800950414578,0.283,0.202,1.93428210669523e-39,"0","Jun"
"Hip1r",3.20371076133987e-43,-0.250478890273192,0.096,0.268,5.2646578941098e-39,"0","Hip1r"
"Cox4i1",3.45992733990479e-39,-0.300348407799352,0.737,0.884,5.68569859766554e-35,"0","Cox4i1"
"Oaz1",2.06075162526038e-37,-0.266785030680381,0.809,0.917,3.38643314579039e-33,"0","Oaz1"
