"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gadd45b",1.34008265466388e-51,1.21854974105922,0.942,0.523,1.77199129426204e-47,"Neutrophils","Gadd45b"
"Il1rn",1.75103897147617e-51,0.92797268038961,0.948,0.461,2.31539883198294e-47,"Neutrophils","Il1rn"
"Pim1",3.25921646899449e-51,1.40727440321031,0.934,0.531,4.30966193695142e-47,"Neutrophils","Pim1"
"Rnf149",4.06782124963955e-51,0.734936357687107,0.891,0.312,5.37888003839838e-47,"Neutrophils","Rnf149"
"S100a10",5.64470134661506e-51,-1.71504713341274,0.035,0.391,7.4639885906291e-47,"Neutrophils","S100a10"
"Cd274",7.01748312298844e-51,1.1048042361918,0.911,0.375,9.27921793352762e-47,"Neutrophils","Cd274"
"Slc15a3",7.18030953501811e-51,1.39965077363165,0.833,0.234,9.49452329815445e-47,"Neutrophils","Slc15a3"
"Nfkbia",7.40908929078881e-51,1.4737560907752,0.967,0.703,9.79703876921004e-47,"Neutrophils","Nfkbia"
"Plek",5.12490705542784e-50,1.21549424830447,0.913,0.406,6.77666459939223e-46,"Neutrophils","Plek"
"Tyrobp",8.10328555858498e-50,0.888902424841097,0.968,0.641,1.07149744941169e-45,"Neutrophils","Tyrobp"
"Eef1g",1.76753950152583e-49,-1.29470357693843,0.138,0.438,2.3372174828676e-45,"Neutrophils","Eef1g"
"Ifitm2",1.96779863404819e-49,1.4513887279774,0.905,0.406,2.60202013380192e-45,"Neutrophils","Ifitm2"
"Ccrl2",3.98409308637351e-49,1.36603452787812,0.886,0.344,5.2681662881117e-45,"Neutrophils","Ccrl2"
"Tubb5",6.49894875399819e-49,-1.44628014543796,0.08,0.383,8.5935599374118e-45,"Neutrophils","Tubb5"
"Vim",8.04307617413036e-49,-1.83100590764884,0.252,0.516,1.06353596250526e-44,"Neutrophils","Vim"
"Cox6c",8.64154081519211e-49,-1.24935378886221,0.194,0.469,1.14267094199285e-44,"Neutrophils","Cox6c"
"Ndufa4",8.90447036623524e-49,-1.44322512320951,0.055,0.375,1.17743811652729e-44,"Neutrophils","Ndufa4"
"Cox7c",9.24982322742101e-49,-1.12060962997227,0.278,0.492,1.22310412536188e-44,"Neutrophils","Cox7c"
"Rps9",1.76363220808033e-48,-1.02944419373187,0.799,0.758,2.33205086874462e-44,"Neutrophils","Rps9"
"mt-Nd1",1.94384835217293e-48,-1.47830730995476,0.114,0.422,2.57035067607827e-44,"Neutrophils","mt-Nd1"
"Litaf",7.54494816316676e-48,1.00599536174215,0.905,0.391,9.97668495615541e-44,"Neutrophils","Litaf"
"Dusp1",1.22743888513745e-47,1.19496181318679,0.895,0.383,1.62304243781725e-43,"Neutrophils","Dusp1"
"Samsn1",6.16024025730857e-47,1.33436329456499,0.836,0.273,8.14568569223912e-43,"Neutrophils","Samsn1"
"Csf3r",8.46685253484939e-47,1.34296243839799,0.734,0.117,1.11957191068313e-42,"Neutrophils","Csf3r"
"Fcgr3",9.79666478885267e-47,1.09615941576157,0.822,0.227,1.29541298502999e-42,"Neutrophils","Fcgr3"
"Eif3e",6.96205969212715e-46,-1.06341982963264,0.007,0.297,9.20593153089972e-42,"Neutrophils","Eif3e"
"Ier3",1.04265579538004e-45,0.88106843667782,0.931,0.469,1.37870375823102e-41,"Neutrophils","Ier3"
"Mapkapk2",1.55725360893502e-45,1.22942708827115,0.83,0.273,2.05915644709477e-41,"Neutrophils","Mapkapk2"
"Il1r2",5.4062000273538e-45,1.37838858673987,0.723,0.117,7.14861829616993e-41,"Neutrophils","Il1r2"
"Hint1",9.21596068388972e-45,-1.3829375803703,0.084,0.43,1.21862648123074e-40,"Neutrophils","Hint1"
"Hspa8",1.15159914619119e-44,-1.35975396529937,0.441,0.609,1.52275955100861e-40,"Neutrophils","Hspa8"
"C5ar1",1.78510643929448e-44,1.32462319112243,0.687,0.094,2.36044624467909e-40,"Neutrophils","C5ar1"
"Rab20",1.90514728767121e-44,1.18501425271841,0.734,0.141,2.51917625848764e-40,"Neutrophils","Rab20"
"Snrpg",2.54927791010757e-44,-1.28352033545875,0.066,0.398,3.37091018053524e-40,"Neutrophils","Snrpg"
"Snx20",2.66924706744404e-44,1.04360697621537,0.811,0.227,3.52954539728126e-40,"Neutrophils","Snx20"
"Trem1",5.29490654439474e-44,1.51626996070155,0.675,0.078,7.00145492365316e-40,"Neutrophils","Trem1"
"Pabpc1",7.03684890134423e-43,-1.04635422063719,0.418,0.516,9.30482530224748e-39,"Neutrophils","Pabpc1"
"Ifitm1",8.79644472829201e-43,1.1802192788036,0.802,0.227,1.16315388642205e-38,"Neutrophils","Ifitm1"
"Neat1",1.50466967915463e-42,0.683541682306333,0.944,0.516,1.98962471674617e-38,"Neutrophils","Neat1"
"Serbp1",2.26095910239235e-42,-1.49609438295113,0.103,0.484,2.98966622109341e-38,"Neutrophils","Serbp1"
"Atp5g2",5.33931957745238e-42,-1.28471040910238,0.063,0.391,7.06018227726528e-38,"Neutrophils","Atp5g2"
"G0s2",6.48741817106824e-42,1.9913210697796,0.841,0.32,8.57831304760354e-38,"Neutrophils","G0s2"
"Fcer1g",1.1071337644274e-41,0.727726375206102,0.971,0.664,1.46396297670235e-37,"Neutrophils","Fcer1g"
